=== DEEP ANALYSIS START 01/22/2026 13:50:04 ===

PROJECTS ROOT ANALYSIS
Active | Git:False | Package:False | Python:False | Files:0 | SizeGB:13.654
activodss | Git:False | Package:False | Python:False | Files:0 | SizeGB:1.122
AIGestion_System_Admin | Git:False | Package:False | Python:False | Files:3 | SizeGB:0
autonomous_agent_poc | Git:False | Package:False | Python:True | Files:3 | SizeGB:0
cooking-agent | Git:False | Package:False | Python:True | Files:7 | SizeGB:0
Scripts | Git:False | Package:False | Python:False | Files:6 | SizeGB:0
voz_ai | Git:True | Package:False | Python:True | Files:33 | SizeGB:0.062

AIGESTION ROOT ANALYSIS
.agent | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
.cache | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
.gemini | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
.git | Git:False | Package:False | Python:False | Files:50 | SizeGB:0.193
.github | Git:False | Package:False | Python:False | Files:10 | SizeGB:0
.husky | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
.trunk | Git:False | Package:False | Python:False | Files:2 | SizeGB:0
.vercel | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
.vscode | Git:False | Package:False | Python:False | Files:5 | SizeGB:0
.windsurf | Git:False | Package:False | Python:False | Files:3 | SizeGB:0
actions | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
aig-ia-engine | Git:False | Package:False | Python:False | Files:1 | SizeGB:0.865
AIGestion_Master_Drive | Git:False | Package:False | Python:False | Files:1 | SizeGB:0.004
audit | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
backend | Git:False | Package:True | Python:False | Files:31 | SizeGB:1.418
backups | Git:False | Package:False | Python:False | Files:4 | SizeGB:1.898
cloud | Git:False | Package:False | Python:False | Files:0 | SizeGB:0.098
config | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
coverage | Git:False | Package:False | Python:False | Files:1 | SizeGB:0.003
cypress | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
daniela | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
data | Git:False | Package:False | Python:False | Files:11 | SizeGB:0.003
dist | Git:False | Package:False | Python:False | Files:6 | SizeGB:0
docker | Git:False | Package:False | Python:False | Files:9 | SizeGB:0.01
docs | Git:False | Package:False | Python:False | Files:13 | SizeGB:0.006
evaluation | Git:False | Package:False | Python:False | Files:31 | SizeGB:0
frontend | Git:False | Package:True | Python:False | Files:14 | SizeGB:0.719
grafana | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
infra | Git:False | Package:False | Python:False | Files:1 | SizeGB:0.438
k8s | Git:False | Package:False | Python:False | Files:16 | SizeGB:0
legacy | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
linters | Git:False | Package:False | Python:False | Files:1 | SizeGB:0.016
logs | Git:False | Package:False | Python:False | Files:5 | SizeGB:0.006
loki | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
metadata | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
migration-backup | Git:False | Package:False | Python:False | Files:13 | SizeGB:0
ml-service | Git:False | Package:False | Python:True | Files:4 | SizeGB:1.109
mobile | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
monitoring | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
n8n | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
n8n_data | Git:False | Package:False | Python:False | Files:6 | SizeGB:0.005
node | Git:False | Package:False | Python:False | Files:0 | SizeGB:0.065
node_modules | Git:False | Package:False | Python:False | Files:3 | SizeGB:1.125
optimization-plan | Git:False | Package:False | Python:False | Files:19 | SizeGB:0
packages | Git:False | Package:False | Python:False | Files:0 | SizeGB:0.578
prometheus | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
promtail | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
quarantine | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
repo-tools | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
runtimes | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
scripts | Git:False | Package:True | Python:False | Files:115 | SizeGB:0.001
supabase | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
task | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
terraform | Git:False | Package:False | Python:False | Files:0 | SizeGB:0.098
terraform_bin | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
tests | Git:False | Package:False | Python:False | Files:6 | SizeGB:0
tools | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
uploads | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
utils | Git:False | Package:False | Python:False | Files:1 | SizeGB:0
vpn | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
workflows | Git:False | Package:False | Python:False | Files:0 | SizeGB:0
workspace-config | Git:False | Package:False | Python:False | Files:8 | SizeGB:0

=== DEEP ANALYSIS END 01/22/2026 13:55:19 ===
